iter	MultiClass
0	1.365812999
1	1.346495931
2	1.328842143
3	1.310510148
4	1.297144287
5	1.28531565
6	1.269033887
7	1.263007931
8	1.253933776
9	1.239642395
10	1.231250823
11	1.225664807
12	1.217494085
13	1.210520987
14	1.200915834
15	1.192662568
16	1.183463138
17	1.175802799
18	1.166262423
19	1.15698268
20	1.151296571
21	1.144869519
22	1.139173626
23	1.134789102
24	1.131054679
25	1.125571197
26	1.117844562
27	1.114372879
28	1.108243915
29	1.101601393
30	1.097350713
31	1.092294365
32	1.087647367
33	1.080215384
34	1.078455458
35	1.074510375
36	1.069447639
37	1.062862653
38	1.058505033
39	1.051913637
40	1.047360995
41	1.044427303
42	1.040856389
43	1.03731882
44	1.033147147
45	1.028957278
46	1.02579913
47	1.022468614
48	1.01919755
49	1.015814247
50	1.012120815
51	1.009217336
52	1.00447909
53	1.000531286
54	0.9975270042
55	0.9934187477
56	0.9917642505
57	0.9900153468
58	0.9861984133
59	0.9808417232
60	0.9763800386
61	0.9717398709
62	0.9672242873
63	0.9621739296
64	0.9591317279
65	0.9550530695
66	0.9528935014
67	0.9494098981
68	0.9460979035
69	0.9426634415
70	0.9392349942
71	0.9358080303
72	0.9329993613
73	0.9285437847
74	0.9255897263
75	0.9217116694
76	0.9176505427
77	0.9139040113
78	0.9118227119
79	0.9093457401
80	0.9042978506
81	0.8998057205
82	0.8980507497
83	0.8949060474
84	0.8925179185
85	0.8875538249
86	0.8840050914
87	0.8812246299
88	0.8775066701
89	0.8738222214
90	0.8706827302
91	0.8677446953
92	0.8651532238
93	0.8622773325
94	0.8579369732
95	0.8527235414
96	0.8488270362
97	0.8466512931
98	0.8448411992
99	0.8411031043
100	0.8373711012
101	0.8340154086
102	0.831024857
103	0.8294422364
104	0.8266880759
105	0.8225016667
106	0.8199507361
107	0.8142627587
108	0.8100820794
109	0.8078404539
110	0.805683108
111	0.8026306062
112	0.8008336705
113	0.7981128309
114	0.7944575504
115	0.7927064689
116	0.7901095785
117	0.7873771865
118	0.7836996951
119	0.7816058283
120	0.779668554
121	0.7778119252
122	0.7757974967
123	0.7735787203
124	0.7704929665
125	0.7671309258
126	0.7649273465
127	0.7621832625
128	0.7589908021
129	0.7564341363
130	0.7538796949
131	0.7512583094
132	0.7507021865
133	0.7487148781
134	0.745271102
135	0.7424611538
136	0.7413641245
137	0.7375235127
138	0.7360773993
139	0.7321076796
140	0.7287633359
141	0.7272649329
142	0.7251905399
143	0.7233502367
144	0.7203164635
145	0.7167062701
146	0.7143928602
147	0.7108525417
148	0.7093603269
149	0.7071307815
150	0.7053920965
151	0.7023461883
152	0.699971998
153	0.69582371
154	0.6943333264
155	0.6920209518
156	0.6883718632
157	0.6868323891
