iter	Passed	Remaining
0	150	74910
1	153	38146
2	156	25923
3	159	19758
4	163	16192
5	166	13726
6	170	11999
7	173	10657
8	176	9608
9	179	8794
10	182	8102
11	185	7547
12	186	7000
13	190	6595
14	192	6236
15	196	5943
16	200	5702
17	204	5472
18	207	5260
19	211	5087
20	214	4902
21	218	4741
22	221	4596
23	224	4458
24	227	4321
25	230	4200
26	233	4095
27	237	3997
28	240	3908
29	243	3814
30	247	3737
31	251	3682
32	254	3605
33	257	3527
34	259	3453
35	263	3390
36	266	3340
37	269	3280
38	272	3219
39	275	3168
40	278	3118
41	282	3079
42	285	3029
43	287	2981
44	290	2936
45	293	2893
46	296	2856
47	299	2820
48	302	2782
49	305	2747
50	308	2711
51	311	2681
52	314	2650
53	317	2619
54	319	2587
55	322	2557
56	325	2532
57	328	2506
58	337	2524
59	341	2502
60	344	2481
61	347	2455
62	350	2430
63	353	2406
64	356	2383
65	359	2365
66	362	2344
67	365	2320
68	367	2298
69	370	2276
70	374	2260
71	377	2244
72	380	2225
73	383	2206
74	386	2187
75	389	2170
76	392	2157
77	395	2139
78	398	2123
79	401	2107
80	405	2096
81	409	2086
82	412	2071
83	415	2058
84	418	2043
85	422	2032
86	425	2019
87	428	2004
88	431	1990
89	434	1977
90	437	1967
91	441	1958
92	444	1945
93	448	1938
94	451	1926
95	454	1914
96	458	1903
97	460	1890
98	463	1878
99	467	1870
100	471	1863
101	474	1853
102	477	1842
103	480	1830
104	483	1820
105	487	1810
106	490	1800
107	493	1792
108	497	1784
109	501	1777
110	504	1767
111	507	1758
112	510	1748
113	513	1739
114	517	1732
115	520	1722
116	523	1712
117	525	1702
118	528	1693
119	531	1684
120	534	1675
121	537	1665
122	540	1657
123	543	1647
124	546	1639
125	549	1631
126	552	1622
127	555	1613
128	558	1605
129	561	1597
130	564	1589
131	567	1581
132	569	1572
133	572	1564
134	575	1557
135	579	1549
136	581	1541
137	584	1533
138	587	1524
139	589	1516
140	592	1509
141	595	1502
142	598	1494
143	601	1486
144	603	1478
145	606	1470
146	609	1463
147	612	1456
148	614	1448
149	617	1441
150	620	1434
151	623	1426
152	626	1420
153	628	1412
154	631	1406
155	634	1399
156	637	1392
157	640	1385
158	642	1379
159	645	1372
160	648	1365
161	651	1359
162	654	1352
163	657	1346
164	659	1339
165	662	1332
166	665	1326
167	667	1320
168	670	1313
169	673	1307
170	676	1301
171	679	1295
172	682	1289
173	685	1284
174	688	1279
175	692	1274
176	695	1268
177	697	1262
178	700	1256
179	704	1252
180	707	1246
181	710	1241
182	713	1235
183	716	1230
184	719	1225
185	722	1220
186	725	1215
187	728	1209
188	732	1204
189	735	1199
190	738	1194
191	741	1188
192	743	1183
193	746	1178
194	749	1172
195	752	1167
196	755	1162
197	758	1156
198	761	1151
199	763	1145
200	766	1140
201	769	1135
202	772	1130
203	775	1125
204	778	1120
205	780	1114
206	784	1109
207	786	1104
208	789	1099
209	792	1094
210	795	1089
211	798	1084
212	801	1079
213	803	1074
214	806	1069
215	809	1064
216	812	1059
217	815	1054
218	818	1050
219	821	1044
220	823	1039
221	826	1034
222	829	1029
223	832	1025
224	834	1020
225	837	1015
226	840	1010
227	843	1005
228	858	1016
229	861	1011
230	864	1007
231	867	1002
232	870	997
233	874	993
234	876	988
235	880	984
236	883	980
237	886	975
238	889	970
239	892	966
240	895	962
241	898	957
242	900	952
243	903	948
244	906	943
245	909	938
246	912	934
247	915	929
248	917	925
249	920	920
250	923	916
251	926	911
252	929	907
253	932	903
254	935	898
255	938	894
256	940	889
257	944	885
258	947	881
259	951	878
260	956	875
261	961	873
262	964	868
263	967	864
264	970	860
265	975	858
266	978	853
267	981	849
268	984	845
269	987	841
270	992	838
271	995	834
272	998	830
273	1001	825
274	1008	825
275	1012	821
276	1015	817
277	1018	813
278	1021	809
279	1024	805
280	1027	800
281	1030	796
282	1032	792
283	1036	788
284	1040	785
285	1044	781
286	1048	777
287	1052	774
288	1055	770
289	1058	766
290	1062	762
291	1066	759
292	1070	756
293	1073	752
294	1076	748
295	1080	744
296	1083	740
297	1086	736
298	1089	732
299	1092	728
300	1096	724
301	1099	720
302	1102	717
303	1105	712
304	1108	708
305	1111	704
306	1116	701
307	1119	697
308	1130	698
309	1135	696
310	1142	694
311	1147	691
312	1151	688
313	1156	685
314	1160	681
315	1166	679
316	1170	675
317	1174	672
318	1179	669
319	1184	666
320	1189	663
321	1195	660
322	1201	658
323	1204	654
324	1208	650
325	1214	648
326	1217	644
327	1221	640
328	1226	637
329	1231	634
330	1235	630
331	1238	626
332	1243	623
333	1247	619
334	1251	616
335	1256	613
336	1261	609
337	1264	606
338	1267	602
339	1270	598
340	1275	594
341	1281	591
342	1286	588
343	1292	586
344	1295	582
345	1300	578
346	1304	575
347	1309	571
348	1312	567
349	1315	563
350	1319	560
351	1323	556
352	1326	552
353	1329	548
354	1332	544
355	1335	540
356	1339	536
357	1343	532
358	1346	528
359	1349	524
360	1352	520
361	1355	516
362	1359	513
363	1362	509
364	1365	505
365	1369	501
366	1374	498
367	1377	494
